Image_ID,Body_Shape,Shoulder_cm,Waist_cm,Hip_cm,Hip_Waist_Ratio,Colour_Palette,Garment_Type,Garment_Colour,Sleeve,Neckline,Pattern,Fabric,Occasion,Recommendation,Height_cm
IMG_001,Rectangle,44,27,34,1.26,Warm,Blouse,Sky Blue,Sleeveless,High Neck,Polka Dot,Polyester,Casual,Pleated Skirt,169.0
IMG_002,Pear,34,26,35,1.35,Neutral,Sweater,Sky Blue,Sleeveless,Square,Striped,Wool,Traditional,Dark Bottom,163.9
IMG_003,Rectangle,37,33,43,1.3,Warm,Blouse,Brown,3/4,Collar,Checked,Denim,Formal,Belted Dress,170.2
IMG_004,Hourglass,35,27,40,1.48,Cool,Sweater,Maroon,Half,Sweetheart,Solid,Wool,College,Wrap Dress,177.2
IMG_005,Apple,48,32,35,1.09,Neutral,Sweater,Red,Half,Square,Striped,Wool,Casual,V-Neck Outfit,163.1
IMG_006,Rectangle,44,29,46,1.59,Warm,Shirt,White,3/4,Collar,Floral,Wool,Party,Layered Outfit,163.1
IMG_007,Rectangle,39,31,37,1.19,Neutral,Shirt,Beige,Full,High Neck,Striped,Polyester,Formal,Layered Outfit,177.6
IMG_008,Apple,41,32,38,1.19,Neutral,Trousers,Sky Blue,-,-,Solid,Denim,Casual,Straight-Leg Trousers,171.1
IMG_009,Pear,40,30,35,1.17,Neutral,Trousers,Grey,-,-,Striped,Wool,College,Dark Bottom,161.2
IMG_010,Inverted Triangle,48,40,44,1.1,Cool,Blouse,Navy Blue,Short,High Neck,Printed,Polyester,Party,Flowy Dress,169.3
IMG_011,Rectangle,48,35,40,1.14,Warm,Kurti,Sky Blue,3/4,Round,Solid,Rayon,Casual,Layered Outfit,161.3
IMG_012,Inverted Triangle,44,28,46,1.64,Warm,Skirt,Olive,-,-,Floral,Polyester,College,V-Neck Top,161.3
IMG_013,Hourglass,42,39,34,0.87,Neutral,Jeans,Yellow,-,-,Polka Dot,Linen,Casual,High-Waist Trousers,166.9
IMG_014,Hourglass,40,28,41,1.46,Neutral,Jeans,Beige,-,-,Printed,Rayon,Formal,Wrap Dress,149.7
IMG_015,Apple,47,36,38,1.06,Warm,Blouse,Olive,Half,Sweetheart,Striped,Polyester,Traditional,V-Neck Outfit,151.2
IMG_016,Hourglass,43,31,41,1.32,Cool,Jeans,White,-,-,Striped,Cotton,Formal,Wrap Dress,160.5
IMG_017,Hourglass,35,37,41,1.11,Neutral,Blouse,Brown,Short,High Neck,Floral,Polyester,Formal,High-Waist Trousers,156.9
IMG_018,Inverted Triangle,42,39,43,1.1,Neutral,Dress,Sky Blue,Half,Boat,Polka Dot,Wool,Party,Flowy Dress,167.5
IMG_019,Hourglass,48,34,41,1.21,Warm,Shirt,Sky Blue,Half,Round,Printed,Polyester,Formal,Fitted Dress,157.7
IMG_020,Hourglass,34,27,45,1.67,Warm,T-Shirt,Sky Blue,Half,Round,Printed,Denim,Party,Belted Outfit,153.7
IMG_021,Apple,37,34,36,1.06,Cool,Dress,Olive,3/4,Sweetheart,Floral,Denim,Casual,V-Neck Outfit,176.7
IMG_022,Inverted Triangle,44,32,39,1.22,Cool,T-Shirt,Pink,Sleeveless,Round,Floral,Wool,Party,A-Line Skirt,163.2
IMG_023,Apple,37,29,37,1.28,Warm,Skirt,Peach,-,-,Striped,Linen,College,Empire-Waist Dress,165.5
IMG_024,Inverted Triangle,47,40,35,0.88,Neutral,Shirt,Brown,Sleeveless,High Neck,Printed,Rayon,Casual,A-Line Skirt,153.6
IMG_025,Pear,48,38,47,1.24,Cool,Jacket,Navy Blue,3/4,V-Neck,Floral,Cotton,Formal,Dark Bottom,160.6
IMG_026,Inverted Triangle,34,32,38,1.19,Cool,Kurti,Red,3/4,V-Neck,Striped,Linen,Formal,A-Line Skirt,165.9
IMG_027,Hourglass,43,37,42,1.14,Cool,T-Shirt,Beige,Sleeveless,Square,Floral,Polyester,Traditional,Fitted Dress,155.8
IMG_028,Pear,34,34,35,1.03,Neutral,Shirt,White,Short,Boat,Solid,Polyester,Formal,A-Line Dress,168.0
IMG_029,Apple,43,27,40,1.48,Neutral,Trousers,Olive,-,-,Checked,Denim,Party,Empire-Waist Dress,160.2
IMG_030,Rectangle,38,32,36,1.12,Cool,Shirt,Peach,Sleeveless,Boat,Printed,Polyester,Casual,Peplum Top,162.7
IMG_031,Rectangle,42,29,42,1.45,Cool,Shirt,Navy Blue,Short,Collar,Checked,Denim,College,Belted Dress,160.2
IMG_032,Apple,43,38,44,1.16,Neutral,Kurti,Black,Half,High Neck,Solid,Denim,Party,V-Neck Outfit,179.8
IMG_033,Apple,48,27,45,1.67,Cool,Jeans,Navy Blue,-,-,Printed,Denim,Party,Empire-Waist Dress,164.9
IMG_034,Rectangle,44,36,47,1.31,Cool,Jeans,Green,-,-,Solid,Cotton,College,Belted Dress,156.5
IMG_035,Pear,34,26,39,1.5,Cool,Blouse,Yellow,3/4,Square,Polka Dot,Silk,Traditional,A-Line Dress,171.6
IMG_036,Pear,35,27,48,1.78,Warm,Trousers,Green,-,-,Printed,Polyester,Formal,Dark Bottom,155.2
IMG_037,Rectangle,36,26,38,1.46,Warm,Trousers,Grey,-,-,Striped,Wool,Formal,Peplum Top,166.7
IMG_038,Inverted Triangle,39,38,42,1.11,Neutral,Blouse,Olive,Short,Sweetheart,Striped,Rayon,Formal,Flowy Dress,149.3
IMG_039,Rectangle,34,28,45,1.61,Cool,Dress,Brown,Half,V-Neck,Polka Dot,Cotton,College,Peplum Top,154.4
IMG_040,Pear,47,33,37,1.12,Cool,Trousers,Lavender,-,-,Checked,Rayon,Formal,Structured Top,166.6
IMG_041,Inverted Triangle,34,36,37,1.03,Cool,Shirt,Maroon,Half,Collar,Polka Dot,Polyester,College,V-Neck Top,170.9
IMG_042,Rectangle,34,27,48,1.78,Neutral,Jeans,Navy Blue,-,-,Solid,Cotton,Traditional,Pleated Skirt,166.4
IMG_043,Rectangle,39,37,46,1.24,Neutral,Kurti,Pink,Sleeveless,Boat,Printed,Denim,Party,Peplum Top,164.1
IMG_044,Apple,45,32,34,1.06,Neutral,Dress,Grey,Half,Boat,Solid,Wool,Party,Straight-Leg Trousers,162.6
IMG_045,Rectangle,44,39,35,0.9,Cool,Skirt,Green,-,-,Checked,Silk,Party,Layered Outfit,153.2
IMG_046,Inverted Triangle,37,32,44,1.38,Neutral,Blouse,Yellow,Full,Square,Checked,Silk,Traditional,A-Line Skirt,159.2
IMG_047,Inverted Triangle,38,30,37,1.23,Neutral,Sweater,Brown,Half,Boat,Floral,Silk,Formal,Flowy Dress,161.3
IMG_048,Pear,46,40,46,1.15,Warm,Jeans,Yellow,-,-,Printed,Wool,Traditional,Boat-Neck Top,173.5
IMG_049,Pear,35,39,46,1.18,Cool,Dress,Yellow,Short,V-Neck,Solid,Cotton,Formal,Dark Bottom,167.7
IMG_050,Hourglass,43,39,46,1.18,Cool,Sweater,Peach,Short,High Neck,Polka Dot,Silk,College,Belted Outfit,150.9
IMG_051,Hourglass,37,28,44,1.57,Warm,Skirt,Grey,-,-,Striped,Denim,Traditional,Belted Outfit,167.6
IMG_052,Hourglass,34,34,37,1.09,Warm,Jacket,Peach,Full,Square,Printed,Linen,College,Belted Outfit,161.9
IMG_053,Inverted Triangle,47,40,42,1.05,Warm,Jacket,Grey,3/4,Collar,Striped,Rayon,Party,Flowy Dress,159.6
IMG_054,Inverted Triangle,44,29,38,1.31,Neutral,Jeans,White,-,-,Striped,Linen,Party,V-Neck Top,169.9
IMG_055,Pear,48,34,35,1.03,Warm,Skirt,Navy Blue,-,-,Polka Dot,Denim,Formal,A-Line Dress,173.2
IMG_056,Apple,40,32,39,1.22,Cool,T-Shirt,Peach,Short,Sweetheart,Floral,Silk,Traditional,V-Neck Outfit,172.5
IMG_057,Apple,47,40,46,1.15,Cool,T-Shirt,Pink,Half,Collar,Floral,Rayon,College,Empire-Waist Dress,158.3
IMG_058,Inverted Triangle,41,29,38,1.31,Warm,Skirt,Peach,-,-,Checked,Wool,College,Wide-Leg Trousers,162.5
IMG_059,Pear,47,33,48,1.45,Neutral,T-Shirt,Olive,3/4,Square,Printed,Wool,Casual,A-Line Dress,167.7
IMG_060,Inverted Triangle,44,32,36,1.12,Warm,Jeans,Navy Blue,-,-,Floral,Linen,Formal,Flowy Dress,172.8
IMG_061,Inverted Triangle,39,31,46,1.48,Cool,Jeans,Red,-,-,Solid,Silk,Casual,A-Line Skirt,161.2
IMG_062,Hourglass,39,29,44,1.52,Neutral,T-Shirt,Brown,Sleeveless,V-Neck,Striped,Rayon,Casual,Fitted Dress,163.5
IMG_063,Hourglass,37,28,41,1.46,Warm,Jacket,Olive,Half,Sweetheart,Checked,Denim,Traditional,Wrap Dress,156.1
IMG_064,Rectangle,46,39,36,0.92,Neutral,T-Shirt,White,Half,Square,Polka Dot,Silk,College,Layered Outfit,155.4
IMG_065,Pear,35,35,45,1.29,Neutral,Jeans,White,-,-,Polka Dot,Polyester,Casual,A-Line Dress,171.5
IMG_066,Rectangle,39,34,40,1.18,Neutral,Trousers,White,-,-,Solid,Rayon,College,Pleated Skirt,175.8
IMG_067,Inverted Triangle,35,32,39,1.22,Warm,Skirt,Beige,-,-,Striped,Wool,Traditional,V-Neck Top,164.4
IMG_068,Apple,43,38,48,1.26,Cool,Jacket,Brown,3/4,Sweetheart,Polka Dot,Polyester,Party,Straight-Leg Trousers,173.0
IMG_069,Hourglass,47,29,47,1.62,Cool,Dress,Red,3/4,Square,Printed,Wool,College,High-Waist Trousers,167.9
IMG_070,Rectangle,34,33,47,1.42,Cool,Dress,Navy Blue,Half,Sweetheart,Checked,Linen,Party,Belted Dress,159.8
IMG_071,Pear,42,26,42,1.62,Warm,Skirt,White,-,-,Floral,Polyester,Formal,Dark Bottom,167.9
