Image_ID,Body_Shape,Shoulder_cm,Waist_cm,Hip_cm,Hip_Waist_Ratio,Colour_Palette,Garment_Type,Garment_Colour,Sleeve,Neckline,Pattern,Fabric,Occasion,Recommendation
IMG_001,Rectangle,44,27,34,1.26,Warm,Blouse,Sky Blue,Sleeveless,High Neck,Polka Dot,Polyester,Casual,Pleated Skirt
IMG_002,Pear,34,26,35,1.35,Neutral,Sweater,Sky Blue,Sleeveless,Square,Striped,Wool,Traditional,Dark Bottom
IMG_003,Rectangle,37,33,43,1.3,Warm,Blouse,Brown,3/4,Collar,Checked,Denim,Formal,Belted Dress
IMG_004,Hourglass,35,27,40,1.48,Cool,Sweater,Maroon,Half,Sweetheart,Solid,Wool,College,Wrap Dress
IMG_005,Apple,48,32,35,1.09,Neutral,Sweater,Red,Half,Square,Striped,Wool,Casual,V-Neck Outfit
IMG_006,Rectangle,44,29,46,1.59,Warm,Shirt,White,3/4,Collar,Floral,Wool,Party,Layered Outfit
IMG_007,Rectangle,39,31,37,1.19,Neutral,Shirt,Beige,Full,High Neck,Striped,Polyester,Formal,Layered Outfit
IMG_008,Apple,41,32,38,1.19,Neutral,Trousers,Sky Blue,-,-,Solid,Denim,Casual,Straight-Leg Trousers
IMG_009,Pear,40,30,35,1.17,Neutral,Trousers,Grey,-,-,Striped,Wool,College,Dark Bottom
IMG_010,Inverted Triangle,48,40,44,1.1,Cool,Blouse,Navy Blue,Short,High Neck,Printed,Polyester,Party,Flowy Dress
IMG_011,Rectangle,48,35,40,1.14,Warm,Kurti,Sky Blue,3/4,Round,Solid,Rayon,Casual,Layered Outfit
IMG_012,Inverted Triangle,44,28,46,1.64,Warm,Skirt,Olive,-,-,Floral,Polyester,College,V-Neck Top
IMG_013,Hourglass,42,39,34,0.87,Neutral,Jeans,Yellow,-,-,Polka Dot,Linen,Casual,High-Waist Trousers
IMG_014,Hourglass,40,28,41,1.46,Neutral,Jeans,Beige,-,-,Printed,Rayon,Formal,Wrap Dress
IMG_015,Apple,47,36,38,1.06,Warm,Blouse,Olive,Half,Sweetheart,Striped,Polyester,Traditional,V-Neck Outfit
IMG_016,Hourglass,43,31,41,1.32,Cool,Jeans,White,-,-,Striped,Cotton,Formal,Wrap Dress
IMG_017,Hourglass,35,37,41,1.11,Neutral,Blouse,Brown,Short,High Neck,Floral,Polyester,Formal,High-Waist Trousers
IMG_018,Inverted Triangle,42,39,43,1.1,Neutral,Dress,Sky Blue,Half,Boat,Polka Dot,Wool,Party,Flowy Dress
IMG_019,Hourglass,48,34,41,1.21,Warm,Shirt,Sky Blue,Half,Round,Printed,Polyester,Formal,Fitted Dress
IMG_020,Hourglass,34,27,45,1.67,Warm,T-Shirt,Sky Blue,Half,Round,Printed,Denim,Party,Belted Outfit
IMG_021,Apple,37,34,36,1.06,Cool,Dress,Olive,3/4,Sweetheart,Floral,Denim,Casual,V-Neck Outfit
IMG_022,Inverted Triangle,44,32,39,1.22,Cool,T-Shirt,Pink,Sleeveless,Round,Floral,Wool,Party,A-Line Skirt
IMG_023,Apple,37,29,37,1.28,Warm,Skirt,Peach,-,-,Striped,Linen,College,Empire-Waist Dress
IMG_024,Inverted Triangle,47,40,35,0.88,Neutral,Shirt,Brown,Sleeveless,High Neck,Printed,Rayon,Casual,A-Line Skirt
IMG_025,Pear,48,38,47,1.24,Cool,Jacket,Navy Blue,3/4,V-Neck,Floral,Cotton,Formal,Dark Bottom
IMG_026,Inverted Triangle,34,32,38,1.19,Cool,Kurti,Red,3/4,V-Neck,Striped,Linen,Formal,A-Line Skirt
IMG_027,Hourglass,43,37,42,1.14,Cool,T-Shirt,Beige,Sleeveless,Square,Floral,Polyester,Traditional,Fitted Dress
IMG_028,Pear,34,34,35,1.03,Neutral,Shirt,White,Short,Boat,Solid,Polyester,Formal,A-Line Dress
IMG_029,Apple,43,27,40,1.48,Neutral,Trousers,Olive,-,-,Checked,Denim,Party,Empire-Waist Dress
IMG_030,Rectangle,38,32,36,1.12,Cool,Shirt,Peach,Sleeveless,Boat,Printed,Polyester,Casual,Peplum Top
